fréquence	lemma	UD	
7226	.		
4023	art	tag=DET	
3217	a	tag=ADP	
2777	COP	tag=AUX	
2703	,		
2291	da	tag=ADP	
1994	e	tag=SCONJ	
1844	ket	tag=ADV|Polarity=Neg	
1719	POSS	tag=DET|Poss=Yes	
1514	kaout	tag=AUX	
1425	!		
1219	ober	tag=AUX	
1018	zo	tag=AUX	
913	'		
878	…		
729	an		
681	vez	tag=AUX|Aspect=Hab	
673	mont	tag=VERB	
616	&	tag=CCONJ	
606	?		
595	ma	tag=SCONJ	
582	ne	tag=SCONJ|Polarity=Neg	
582	gant	tag=ADP	
556	bet	tag=PART|Aspect=Perf	
538	da.pronom_incorporé	Amalgame=Yes	
537	particule_o	tag=PART|Aspect=Prog	
487	eus	tag=ADP	
474	war	tag=ADP	
465	n'		
433	pfi	tag=PRON|Case=Nom|PronType=Prs	
433	P.e.art	Amalgame=Yes|tag=ADP.DET|Definite=Def	
432			
405	N'		
389	en	Amalgame=Yes|tag=SCONJ	
387	evit	tag=ADP	
316	An		
315	E		
303	gouzout	tag=VERB	
303	o	
297	dont	tag=VERB	
294	Ne		
292	Me		
288	lavarout	tag=VERB	
276	eo	tag=AUX	
257	em	Amalgame=Yes	
255	hini	tag=NOUN	
244	den	tag=NOUN	
235	pa	tag=SCONJ	
234	POP	tag=PRON|Case=Acc|TokenType=Clit|PronType=Prs	
228	oa		
226	mat		
224	emañ		
222	ken	tag=ADV	
216	ebet		
215	bezañ	tag=AUX	
212	tud	tag=NOUN|Number=Plur	
211	a.pronom_incorporé	Amalgame=Yes|tag=ADP.PRON	
205	/		
204	gant.pronom_incorporé	Amalgame=Yes|tag=ADP.PRON	
201	gwelout	tag=VERB	
196	tamm	tag=NOUN	
193	ur		
182	Ma		
180	gwelout.-et_(Adj)		
177	met	tag=CCONJ	
175	Ha		
174	chom	tag=VERB	
170	all		
170	bennak		
169	n		
169	deus	tag=ADP	
168	evel		
166	vugale		
165	gallout	tag=AUX	
157	ti		
157	pe		
154	unan		
153	Pa		
151	ez		
149	pep		
148	e-barzh	tag=ADP	
147	na		
142	amzer		
140	eur		
137	lakaat		
135	d'		
129	hag		
126	kavout		
124	bras		
124	C.ha(g)	tag=SCONJ	
124	dour		
123	ivez		
121	ha		
120	nemet		
118	ma(r)	tag=SCONJ	
118	dont.-et_(Adj)		
118	rankout		
118	tout	tag=PRON|PronType=Tot	
117	tra		
116	al		
108	petra	tag=PRON|PronType=Int|Animacy=Inan	
108	traoù		
107	labourat		
107	kuit		
107	dud		
106	Yann		
105	ouzh	tag=ADP	
103	DEM	PronType=Dem	
103	sevel		
103	Ur		
102	Hag		
102	pluriel_interne	Number=Plur	
101	dre	tag=ADP	
101	_		
100	ken,_ker,_kel	tag=ADV|Polarity=Neg	
99	diouzh	tag=ADP	
98	tu		
97	he		
96	re		
96	holl	tag=PRON|PronType=Tot	
95	bihan		
94	un		
93	]		
93	ez_eus	tag=AUX	
92	netra	tag=NOUN|Polarity=Neg	
92	penn		
91	ads	tag=ADV	
91	c'hoazh	tag=ADV	
91	alies	tag=ADV	
87	amañ	tag=ADV	
86	kalz	tag=ADV	
83	paotr		
82	mor		
80	douar		
80	en_em	tag=PRON|Reflex=Yes	
79	en.en		
79	din		
79	labour		
78	daou		
77	bloaz		
77	debriñ		
76	kas		
75	[		
75	En		
75	bezan		
74	karout		
74	kêr		
72	IMP	tag=PRON|PronType=Prs|Person=0	
72	fall		
72	forzh		
71	Daoust		
71	reiñ		
71	lakaat.-et_(Adj)		
71	kozh		
70	pezh		
70	a-benn		
70	O		
70	klask		
69	kement		
69	gwech		
69	goude		
68	hep		
67	gwaz		
67	deiz		
67	vaouez		
66	Amañ		
65	kouezhañ		
65	mamm		
64	neuze		
64	bremañ		
64	aon		
64	kaer		
64	Setu		
63	piv	tag=PRON|PronType=Int|Animacy=Anim	
63	klevout		
62	kavout.-et_(Adj)		
62	klevout.-et_(Adj)		
62	klañv		
61	soñjal		
61	brav		
60	maouez		
60	art.-où_(PL)		
59	am.am		
59	avel		
58	hent		
58	evañ		
58	penaos	tag=PRON|PronType=Int	
57	ki		
57	eget	tag=ADP	
57	anavezout		
56	Ni		
56	eil	tag=ADJ|NumType=Ord	
56	noz		
56	atav		
56	z		
55	bro		
55	kemer		
54	a-walc'h		
54	muioc'h		
53	redek		
53	Petra		
53	Al		
53	krediñ		
53	er		
52	am		
52	Met		
52	pell		
52	sellout		
52	mui		
52	peogwir		
51	on		
51	ouzon		
51	la(r)		
51	em.em		
51	ret		
51	diwar		
50	memes		
50	gwir		
50	avat		
49	gwelloc'h		
49	komz		
49	tomm		
48	na…_na		
48	Un		
48	droug		
47	plac'h		
47	breur		
47	paour		
47	Doue		
47	Sell		
47	du		
47	ema		
46	seurt		
46	ya		
46	buan		
46	A		
46	yaouank		
46	se		
46	dorn		
45	hir		
45	Hennez		
45	c'hoant		
45	arru		
44	sur		
44	P/e.pronom_incorporé		
44	art.-ed_(PL)		
44	bugel.pluriel_interne		
44	hon		
44	$$$		
44	bemdez		
43	ezhomm		
43	c'hoari		
43	gwenn		
43	plijout		
43	e-pad		
43	anezhañ		
43	tapout		
42	ho		
42	me		
42	dleout		
42	er-maez		
42	goulenn		
42	skol		
42	meus.kaout		
41	setu		
41	eno		
41	james		
41	en-dro		
41	kig		
40	chom.-et_(Adj)		
40	Ya		
40	abalamour		
40	gwall		
40	va		
40	soñj		
39	degouezhout		
39	toud		
39	ta		
39	pelec'h		
39	brezhoneg		
39	Eur		
38	rak		
38	ra		
38	egile		
38	bevañ		
38	lar		
38	Er		
38	e-giz		
38	Honnez		
38	hini-DEM		
38	patatez		
37	koad		
37	tennañ		
37	dindan		
37	C'hwi		
37	ouzh.pronom_incorporé		
37	interjection		
37	aotrou		
37	aze		
37	gantañ		
37	poent		
37	vo		
37	levr		
37	benn		
37	leuskel		
37	Na		
37	bepred		
36	écho		
36	biskoazh		
36	lezel		
36	tan		
36	Bet		
36	miz		
36	debriñ.-et_(Adj)		
36	Hennezh		
36	kompren		
36	boued		
36	daoust		
36	Pese		
35	ger		
35	brezel		
35	a-raok		
35	propre		
34	int		
34	morse		
34	pegen		
34	prenañ		
34	gêr		
34	aod		
34	é		
33	-		
33	kregiñ		
33	oar		
33	lec'h		
33	Pep		
32	ruz		
32	neus		
32	mell		
32	kalon		
32	glas		
32	Va		
32	kousk		
32	gwelet		
32	Te		
32	doa		
32	galleg		
31	anezhi		
31	;		
31	tro		
31	marv		
31	peseurt		
31	banne		
31	fin		
31	bep		
31	tremen		
31	cardinaux		
31	adarre		
31	meur		
31	beza		
31	nen		
31	kouezhañ.-et_(Adj)		
30	eun		
30	bara		
30	poan		
30	dezañ		
30	gwellañ		
30	neus.kaout		
29	di		
29	korf		
29	deuet		
29	vro		
29	war-lerc'h		
29	bale		
29	koulskoude		
29	buhez		
29	Da		
29	kanañ		
29	abaoe		
29	m'		
29	gwin		
29	bez		
29	sizhun		
28	doc'h		
28	bern		
28	hiziv		
28	a-wechoù		
28	trouz		
28	Kement		
28	vont		
28	gwechall		
28	Bremañ		
28	peus		
28	i		
28	lenn_(V.)		
28	deac’h		
27	mab		
27	tri		
27	loen		
27	tad		
27	endro		
27	park		
27	Eno		
27	Med		
27	aer		
27	am-eus.am-eus-kaout		
27	plantañ		
27	laezh		
27	bezhin		
26	or		
26	gouest		
26	micher		
26	Mar		
26	evel-se		
26	Eñ		
26	#enn		
26	B		
26	ez'		
26	dav		
26	ober.IMP		
26	marteze		
26	skuizh		
26	Simone		
26	bloaz.-vezh		
25	Nag		
25	anv		
25	echu		
25	eñ		
25	serriñ		
25	mann		
25	gortoz		
25	m		
25	Ret		
25	div		
25	arruout		
25	lerc'h		
25	Anna		
24	Hemañ		
24	Ac'hanta		
24	kaozeal		
24	Kalz		
24	dec'h		
24	Evit		
24	Ema		
24	mervel		
24	dastum		
24	meus		
24	kazh		
24	melen		
24	rac'h	tag=PRON|PronType=Tot	
24	degas		
24	bout		
23	mad		
23	art.-ioù_(PL)		
23	dra		
23	mirout		
23	Q		
23	vat		
23	pad		
23	ganin		
23	diaoul		
23	eme		
23	kar		
23	dimeziñ		
23	kontañ		
23	merc'hed		
23	kreiz		
23	Int		
23	eta		
23	Neuze		
23	Matriona		
23	don		
23	stagañ		
23	dirak		
