fréquence	t	UD
7226	.	
3305	a	
2746	ar	tag=DET|Definite=Def
2703	,	
2387	e	
1901	'	
1865	an	tag=DET|Definite=Def
1729	ket	tag=ADV|Polarity=Neg
1668	da	
1432	!	
998	zo	tag=AUX|Tense=Pres|Mood=Ind
988	en	
958	oa	tag=AUX|Tense=Imp|Mood=Ind
936	o	
915	eo	tag=AUX|Tense=Pres|Mood=Ind
878	…	
855	ma	
798	d'	
684	eus	
637	bet	tag=AUX|Tense=Past|Mood=Ind|Aspect=Perf
617	ha	tag=CCONJ
606	?	
587	ne	tag=SCONJ|Polarity=Neg
530	Ar	tag=DET|Definite=Def
525	ur	tag=DET|Definite=Ind
507		
503	n'	tag=SCONJ|Polarity=Neg
446	deus	
413	war	tag=ADP
405	N'	tag=SCONJ|Polarity=Neg
399	hag	tag=CCONJ
392	gant	tag=ADP
376	eur	tag=DET|Definite=Ind
375	em	
351	un	tag=DET|Definite=Ind
347	vez	tag=AUX|Aspect=Hab|Tense=Pres|Mood=Ind
340	er	
338	An	tag=DET|Definite=Def
333	he	Gender=Fem
309	Me	tag=PRON|Person=1|Number=Sing
303	ken	tag=ADV|Polarity=Neg
294	Ne	tag=SCONJ|Polarity=Neg
281	ra	tag=AUX|Tense=Pres|Mood=Ind|Person=3|Number=Sing
278	evit	tag=ADP
252	den	tag=NOUN
235	me	tag=PRON|Person=1|Number=Sing
235	ober	tag=VERB|VerbForm=Inf
231	na	Amalgame=Yes|tag=SCONJ.SCONJ|Polarity=Neg
230	gwelet	tag=VERB|VerbForm=Part
226	din	Amalgame=Yes|lemma=da|tag=ADP.PRON|Person=1|Number=Sing
219	veze	tag=AUX|Aspect=Hab|Tense=Imp|Mood=Ind
218	al	tag=DET|Definite=Def
214	neus	tag=AUX|Person=3|Number=Sing
211	/	
209	n	
208	dud	tag=NOUN|Number=Plur
200	pa	tag=SCONJ
197	va	tag=DET|PronType=Poss|Person=1|Number=Sing
195	Ma	
190	vo	tag=AUX|Tense=Fut|Mood=Ind
184	Ha	tag=CCONJ
181	vugale	tag=NOUN|Number=Plur
177	ez	tag=SCONJ
176	re	
174	ebet	tag=ADV|Polarity=Neg
173	tamm	tag=NOUN
172	eun	tag=DET|Definite=Ind
170	E	
158	ho	Number=Plur|Person=2
158	all	tag=ADV
157	on	tag=AUX|Person=1|Number=Sing|Mood=Ind|Tense=Pres
156	Pa	tag=SCONJ
145	am	Number=Sing|Person=1
145	pe	tag=CCONJ
144	é	
137	meus	tag=AUX|Number=Sing|Person=1|Mood=Ind|Tense=Pres
135	hini	tag=NOUN|Number=Sing
128	amzer	tag=NOUN|Number=Sing
126	int	
126	evel	tag=ADP
122	ti	tag=NOUN|Number=Sing
121	doa	Tense=Imp|Person=3|Number=Sing
120	_	
119	vont	tag=VERB|VerbForm=Inf
119	unan	tag=NUM|Number=Sing
118	kuit	tag=ADP
118	dour	
116	graet	tag=VERB|VerbForm=Part
116	m'	
114	vaouez	
113	Ur	tag=DET|Definite=Ind
109	ran	tag=AUX|Person=1|Number=Sing|Mood=Ind|Tense=Pres
108	mat	tag=ADJ
108	Hag	tag=CCONJ
107	amañ	
107	mont	
107	ivez	tag=ADV
106	bennak	tag=ADJ
105	tout	
100	dre	
99	chom	
98	]	
98	pep	
98	oar	
98	met	
98	ema	tag=AUX
96	[	
94	Yann	
90	lar	
87	netra	
87	daou	
86	deuet	
86	labour	
84	rae	
83	mad	
83	kalz	
83	holl	
82	$$$	
81	nemet	
79	En	
78	bras	
78	gêr	
78	hon	
