XPOS,UPOS
AUX,AUX
Adverbes,ADV
Auxiliaire,AUX
Indéfini,PRON/DET
Interrogatif,PRON/ADV/DET
Nom,NOUN
Noms,NOUN
POSS,DET
PRON,PRON
PUNCT,PUNCT
Postposition,ADP
Pronom,PRON
Pronoms,PRON
SCONJ,SCONJ
Suffixe,X
Verbes,VERB
_,_
adj,ADJ
adjectif,ADJ
adjectifs,ADJ
adv,ADV
adverbe,ADV
adverbes,ADV
advneg,ADV
auxiliaire,AUX
cll,PRON
cln,PRON
clneg,PART
clr,PRON
complémenteur,SCONJ
complémenteurs,SCONJ
conjonction,CCONJ
coo,CCONJ
copule,X
csu,ADV
det,DET
défini,PRON/DET
déterminant,DET
déterminants,DET
exclamatif,DET
indéfini,PRON/DET
interjection,INTJ
interjections,INTJ
interrogatif,PRON/ADV/DET
interrogatifs,PRON/ADV/DET
nc,NOUN
ncpred,NOUN
nom,NOUN
noms,NOUN
np,PROPN
particule de discours,ADV
pluriel,X
pluriels,X
poncts,PUNCT
postposition,ADP
postpositions,ADP
prefixe,X
prel,PRON
prep,ADP
pres,INTJ
pri,PRON
pro,DET
pronom,PRON
pronoms,PRON
préfixe,X
préposition,ADP
prépositions,ADP
quantifieur,DET/ADJ/ADV/PRON
quantifieurs,DET/ADJ/ADV/PRON
suffixe,X
v,VERB
verbe,VERB
verbes,VERB
