fréquence	Gloss	UD	
12841	punct		
6057	?		
5471	le	tag=DET|deprel=det|Definite=Def|PronType=Art	
4589	R	tag=PART	
3260	art		
2691	est	tag=AUX|Tense=Pres|Mood=Ind|Number=Sing|Person=3|VerbForm=Fin	
1912	à	tag=ADP	
1872	un	tag=DET|deprel=det|Definite=Ind|PronType=Art	
1799	pas	Polarity=Neg|tag=ADV	
1663	de	tag=ADP	
1482	ne	Amalgame=Yes	Amalgame entre Neg et Rannig
1208	était	tag=AUX|Tense=Imp|Mood=Ind|Number=Sing|Person=3|VerbForm=Fin	
1188	a	tag=AUX|Tense=Pres|Mood=Ind|Number=Sing|Person=3|VerbForm=Fin	
1021	et		
1002	1		
953	que	tag=SCONJ	
763	son	tag=DET|PronType=Poss|Number=Sing|deprel=det|Person=3	forme Masc=e (Mutation 1), forme Fem=he (Mutation 2)
755	moi	tag=PRON|Person=1|Number=Sing	(si lemma=echo deprel=discourse)
749	s		
744	pour		
696	en		
652	pfi		
582	avec		
521	da		
517	sur		
501	mon		
492	fait		
467	été		
465	lui		
422	ne_1_		
414	en.le		
413	POSS		
407	&		
397	COP		
392	aller		
356	être		
337	avait		
319	P.e		
303	nom_propre		
294	mais		
294	à.pronom_incorporé		
294	plus		
281	ci		
278	ici		
275	gant		
273	faire		
267	tout		
261	eux		
259	quand		
258	chaque		
255	si	tag=SCONJ|PronType=Int	
252	aucun	tag=ADV|Polarity=Neg	
248	5		
244	autre		
244	3PL		
241	comme		
237	y.a		
236	DEM		
232	vous		
232	pa		
227	là		
226	sera		
225	homme		
223	elle		
221	leur		
215	jamais		
212	P.pronom_incorporé		
211	eu	tag=AUX|VerbForm=Part	
210	sont		
209	gens		
208	morceau		
207	quand_1_		
206	suis		
205	serait		
202	kaout		
199	é		
197	grand		
189	ober		
185	quelconque		
184	dans		
182	temps		
182	nous		
182	v.u		
178	hini		
176	ket		
176	mont		
175	quoi		
175	bien		
174	maison		
174	avec.pronom_incorporé		
174	aussi		
173	dit	tag=VERB|VerbForm=Part	
168	à.moi		
164	fais	tag=VERB|Tense=Pres|Number=Sing|Person=2	
161	par		
158	voir	tag=AUX|VerbForm=Inf	
158	beaucoup		
158	encore		
154	interjection		
152	car	tag=CCONJ	
151	allé	tag=VERB|VerbForm=Part	
151	evit		
150	venir		
150	gouzout		
149	dire		
147	dont		
147	choses		
145	ou		
145	toi		
144	beau		
144	on	tag=PRON|Person=0	
140	celui.ci	tag=Pron|PronType=Dem	
139	tête		
138	mon_2_		
138	le.s		
135	R..1SG		
135	eau		
134	seulement		
134	souvent		
133	étais		
133	toujours		
132	tant		
132	avoir		
127	ma(r)		
126	parti		
125	après		
124	se		
123	an		
122	war		
121	faisait		
120	ai		
119	met		
118	ven.u		
118	à.lui	Amalgame=Yes	
118	ceux	tag=PRON|Number=Plur	
118	maintenant		
117	de.pronom_incorporé		
116	sais		
116	petit		
113	avant		
112	enfant.pluriel_interne		
111	ça		
111	femme		
109	autant		
109	obligé		
109	assez		
108	tous		
108	terre		
106	qui	PronType=Int|tag=PRON	
106	emañ		
106	en.art		
105	3SGM		
105	rien		
104	celui	tag=PRON|Number=Sing	
104	mettre		
103	1SG		
103	mieux		
103	combien		
102	votre	tag=DET|PronType=Poss|deprel=det|Person=2	
102	sans		
100	côté		
99	bon	tag=ADJ	
99	personne		
99	u		
98	savoir		
98	ni		
97	lavarout		
97	chose		
96	vient		
95	voici	tag=ADV	
95	E		
93	rester		
92	ton		
92	gwelout		
92	où		
92	er		
92	mer		
91	à.vous		
90	bras		
90	même		
90	arrivé		
89	long		
89	Yann		
89	savait		
88	jour		
88	aujourdhui		
88	alors		
87	chercher		
87	setu		
87	à_1_		
86	va		
85	quel		
85	mère		
84	N	tag=PRON|Number=Sing	
84	_1_tud		
83	sait		
82	den		
82	ée		
82	pendant		
82	R_4_		
82	hier		
82	travail		
82	vieux		
81	de_1_		
81	étaient		
81	mauvais		
80	P.lui		
78	le__1_bugel		
77	amañ		
77	travailler		
77	ti		
77	son_1_		
76	3SG		
76	capable		
76	traoù		
76	all		
76	dehors		
76	cependant	tag=ADV	
75	donc		
75	notre		
74	eur		
73	4		
73	bet		
72	oui		
72	ads		
72	fois		
71	dour		
71	m.is		
70	malade		
69	pays		
69	peur		
69	ebet		
68	R_1_		
68	mat		
68	deux		
68	aurait		
68	e-barzh		
68	second		
68	nuit		
68	comment	PronType=Int|tag=PRON	
67	trouver		
67	_1_maouez		
66	chien		
66	me		
66	depuis		
66	dec'h		
66	3SGF		
66	penn		
66	foyer		
64	particule_o		
64	C		
64	heure		
64	sellout		
63	le..plus		
63	entend.u		
63	vent		
62	trouv.é		
62	R..3SGM		
62	y		
62	regarde		
61	coup		
61	eus		
61	viendra		
61	malgré		
60	vie		
60	manger		
60	trouve		
60	porte		
60	puisque		
59	daoust		
59	si_4_		
59	ken		
59	ivez		
59	Q		
58	marcher		
58	gars		
58	le.plus		
58	envie		
58	dre		
57	celle.ci		
57	frère		
57	expl	tag=VERB|VerbForm=Inf|deprel=Discourse	
57	trop		
57	a-benn		
57	à.elle		
56	ret		
55	breton		
54	plein		
54	petra		
54	vrai		
54	chaque.jour		
53	besoin		
53	fille		
53	es		
53	peseurt		
53	pauvre		
53	jeune		
53	faites		
52	laissé		
52	kuit		
52	kement		
52	mal		
52	_1_kêr		
52	ceux-DEM		
51	SG		
51	à.toi		
51	vite		
51	doit		
51	peine		
51	pep		
51	livre		
51	chaud		
51	noir		
50	serais		
50	avec.moi		
50	evel		
50	di--		
50	fin		
50	bremañ		
50	tud		
50	les_numéraux_cardinaux		
50	1SG.a		
50	sur.pronom_incorporé		
50	douar		
50	alies		
49	trois		
49	labourat		
49	route		
49	père		
49	unan		
48	tomber		
48	tas		
48	êtes		
48	gallout		
48	fit		
48	prendre		
48	IMP		
47	bois		
47	sous		
47	attrapé		
47	main		
46	avec.eux		
46	zo		
46	P.eux	tag=PRON|Case=Acc|Number=Plur|Person=3|PronType=Pers	
45	mamm		
45	mort		
45	argent		
45	dedans		
45	hent		
45	neuze		
45	avec.lui		
44	allait		
44	sorte		
44	bennak		
44	venait		
44	école		
44	enfant.s		
44	étions		
44	à.eux		
44	goude		
44	patates		
43	bloaz		
43	à_4_		
43	di-		
43	reste		
42	côte		
42	quel.sorte		
42	monsieur		
42	tour		
42	tamm		
42	_1_tra		
42	P		
42	vers		
42	/		
41	rouge		
41	c'hoazh		
41	tirer		
41	ma		
41	eno		
41	parler		
41	holl		
41	pain		
40	deiz		
40	cheval		
40	donné		
40	x		
40	rest.é		
40	la		
40	sommes		
40	y.avait		
40	loin		
40	1PL		
40	les		
40	amzer		
39	selon		
39	donner		
39	vois		
39	dormir		
39	Dieu		
39	sauf		
39	en.pronom_incorporé		
39	français		
39	labour		
39	nourriture		
39	regarder		
39	vez		
39	mor		
38	celui.là		
38	piv		
38	de.retour		
38	chom		
38	droit		
38	feu		
38	moment		
38	2		
38	lever		
38	em		
38	kavout		
38	nouveau		
37	numéraux_cardinaux		
37	cas		
37	pense		
37	cœur		
37	ha		
37	tombé		
37	lieu		
37	ven.-et_(Adj.)		
37	content		
37	autrefois		
37	eman		
37	autour		
37	pu		
37	chose-DEM		
37	pire		
36	peut		
36	P.elle		
36	blanc		
36	ya		
36	parfois		
36	son_2_		
36	klevout		
36	pour.pronom_incorporé		
36	mang.é		
36	diouzh		
36	arriver		
36	commencé		
36	[		
36	peut-être		
36	POP		
36	fera		
36	bourg		
36	vaches		
36	prêt		
36	devait		
35	kouezhañ		
35	dis		
35	aime		
35	langue		
35	semaine		
35	boire		
35	entendre		
35	bihan		
35	fatigué		
35	R..3SG		
35	air		
35	lait		
34	duel		
34	kalz		
34	lakaat		
34	nom		
34	guerre		
34	moyen		
34	kaer		
34	gwelloc'h		
34			
33	peux		
33	attendre		
33	vin		
33	hiziv		
33	Simone		
33	voisin		
33	volé		
32	devant		
32	fini		
32	premier		
32	court		
32	bugel		
32	fut		
32	pour_1_		
32	souvenir		
32	mois		
32	envoyé		
32	2PL		
32	demander		
31	noz		
31	bruit		
31	ez		
31	netra		
31	parents		
31	comprendre		
31	corps		
31	lit		
31	amezeg		
31	pluie		
31	tomb.é		
31	blé		
31	crois		
30	karout		
30	avais		
30	mot		
30	vivre		
30	facile		
30	froid		
30	dor		
30	a-wechoù		
30	paotr		
30	gwechall		
30	ceux-ci		
30	gwaz		
30	près		
29	à.savoir		
29	reiñ		
29	fils		
29	dos		
29	plac'h		
29	'		
29	ouzh		
29	aon		
29	di-,_dis-		
29	font		
29	à-côté		
29	buhez		
29	tu		
29	tomm		
29	kozh		
29	ensemble		
29	monter		
29	R..1SG-avait		
29	certain		
28	deus		
28	de.suite		
28	dû		
28	verre		
28	tad		
28	koll		
